year,injuries,fatalities,region,count
1970,9,8,Western Europe,20
1971,0,0,Western Europe,13
1972,45,23,Western Europe,24
1973,1,1,Western Europe,27
1974,10,1,Western Europe,28
1975,12,1,Western Europe,35
1976,36,4,Western Europe,50
1977,2,6,Western Europe,40
1978,3,0,Western Europe,19
1979,10,0,Western Europe,17
1980,218,17,Western Europe,20
1981,31,2,Western Europe,31
1982,44,5,Western Europe,29
1983,25,2,Western Europe,5
1984,2,0,Western Europe,21
1985,114,9,Western Europe,53
1986,242,9,Western Europe,46
1987,32,2,Western Europe,19
1988,14,1,Western Europe,14
1989,8,5,Western Europe,21
1990,4,1,Western Europe,9
