,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
23997,198501000001,1985,1,0,West Germany (FRG),Western Europe,Hesse,Wiesbaden,50.084284000000004,8.238717,,Military,Unknown,Explosives/Bombs/Dynamite,0,0
24024,198501020004,1985,1,2,West Germany (FRG),Western Europe,Hesse,Frankfurt,50.111445,8.680615,,Government (Diplomatic),Red Army Faction (RAF),Incendiary,0,0
24044,198501030004,1985,1,3,West Germany (FRG),Western Europe,Baden-Wurttemberg,Heidelberg,49.4019,8.680285000000001,,Military,Red Army Faction (RAF),Incendiary,0,0
24045,198501030005,1985,1,3,West Germany (FRG),Western Europe,Hesse,Frankfurt,50.111445,8.680615,,Government (Diplomatic),Red Army Faction (RAF),Incendiary,0,0
24046,198501030006,1985,1,3,West Germany (FRG),Western Europe,Baden-Wurttemberg,Heidelberg,49.4019,8.680285000000001,,Educational Institution,Red Army Faction (RAF),Incendiary,0,0
24064,198501070001,1985,1,7,West Germany (FRG),Western Europe,North Rhine-Westphalia,Hohenhaus,50.989041,7.0308660000000005,,Utilities,Red Army Faction (RAF),Unknown,0,0
24160,198501190002,1985,1,19,West Germany (FRG),Western Europe,Baden-Wurttemberg,Stuttgart,48.777105999999996,9.180769,,Business,Red Army Faction (RAF),Explosives/Bombs/Dynamite,1,1
24161,198501190003,1985,1,19,West Germany (FRG),Western Europe,Baden-Wurttemberg,Karlsruhe,49.008084999999994,8.403756,,Business,Unknown,Incendiary,0,0
24185,198501250001,1985,1,25,West Germany (FRG),Western Europe,Schleswig-Holstein,Geesthacht,53.430252,10.374086,,Utilities,Gruppe Haw Weg Den Scheiss,Explosives/Bombs/Dynamite,0,0
24215,198501290002,1985,1,29,West Germany (FRG),Western Europe,Lower Saxony,Bad Harzburg,51.881458,10.562539,,Business,Unknown,Incendiary,0,0
24233,198502010003,1985,2,1,West Germany (FRG),Western Europe,Bavaria,Gauting,48.066495,11.380158,,Business,Red Army Faction (RAF),Firearms,1,0
24244,198502030004,1985,2,3,West Germany (FRG),Western Europe,Saxony-Anhalt,Groningen,51.93744,11.21601,,Police,Northern Terror Front,Incendiary,0,0
