year,injuries,fatalities,region,count
1991,2,1,Middle East & North Africa,5
1992,33,24,Middle East & North Africa,25
1994,2,14,Middle East & North Africa,19
1995,12,4,Middle East & North Africa,8
1996,4,3,Middle East & North Africa,8
1997,8,11,Middle East & North Africa,19
1998,3,8,Middle East & North Africa,7
1999,45,11,Middle East & North Africa,17
2000,40,19,Middle East & North Africa,10
2001,3,2,Middle East & North Africa,7
2002,6,4,Middle East & North Africa,7
2003,9,16,Middle East & North Africa,7
2005,7,12,Middle East & North Africa,7
2006,9,14,Middle East & North Africa,5
2007,46,24,Middle East & North Africa,7
2008,177,74,Middle East & North Africa,22
2009,29,47,Middle East & North Africa,23
2010,233,345,Middle East & North Africa,112
2011,415,461,Middle East & North Africa,118
2012,925,1056,Middle East & North Africa,312
2013,898,624,Middle East & North Africa,424
2014,1305,1348,Middle East & North Africa,761
2015,3065,2372,Middle East & North Africa,658
2016,1340,1517,Middle East & North Africa,521
