,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
125194,201401020009,2014,1,2,Yemen,Middle East & North Africa,Adan,Aden,12.78439,45.001367,"01/02/2014: Gunmen fired on a senior Yemeni intelligence officer outside of his home in the Qalua neighborhood of Aden city, Adan governorate, Yemen. The officer, Colonel Marwan Al-Muqbali, was killed in the attack. No group claimed responsibility for the incident; however, officials suspected that Al-Qaida in the Arabian Peninsula (AQAP) was involved.",Government (General),Al-Qaida in the Arabian Peninsula (AQAP),Firearms,1,0
125217,201401020046,2014,1,2,Yemen,Middle East & North Africa,Hajjah,Harad,16.41489,43.10772,"01/02/2014: An explosive device detonated outside of a hotel in Harad city, Hajjah governorate, Yemen. There were no reported casualties; however, the building was damaged in the blast. No group claimed responsibility for the incident.",Business,Unknown,Explosives/Bombs/Dynamite,0,0
125291,201401040034,2014,1,4,Yemen,Middle East & North Africa,Hadramawt,Unknown,17.088291,49.403801,"01/04/2014: An explosive device detonated near an oil pipeline in Hadramawt governorate, Yemen. There is no information regarding casualties or damages. No group claimed responsibility; however, sources attributed the incident to tribesmen from the Hadramawt Tribes Alliance.",Utilities,Hadramawt Tribes Alliance,Explosives/Bombs/Dynamite,0,0
125335,201401040176,2014,1,3,Yemen,Middle East & North Africa,Al Bayda,Radaa,14.411904000000002,44.838440000000006,"01/03/2014: An explosive device detonated in Radaa district, Al-Bayda governorate, Yemen. Two civilians were killed and an unknown number were injured. No group claimed responsibility for the incident.",Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,2,0
125344,201401040198,2014,1,4,Yemen,Middle East & North Africa,Abyan,Al-Jawf,13.838204999999999,45.836225,"01/04/2014: Assailants attacked a Popular Resistance Committee checkpoint in Al-Jawf area, Abyan governorate, Yemen. Two assailants were killed in the attack. No group claimed responsibility; however, the source attributed the incident to Huthis.",Terrorists/Non-State Militia,Houthi extremists (Ansar Allah),Firearms,2,0
125366,201401050046,2014,1,6,Yemen,Middle East & North Africa,Hadramawt,Shahr,14.764092999999999,49.606526,"01/06/2014: Assailants detonated an explosive device at a pipeline in Shahr town, Hadramawt governorate, Yemen. The pipeline links the Masila oilfield to Al-Daba port in Shahr. There were no reported casualties; however, oil production was suspended as a result of the attack. No group claimed responsibility; however, sources attributed the incident to tribesmen.",Utilities,Tribesmen,Explosives/Bombs/Dynamite,0,0
125435,201401070001,2014,1,7,Yemen,Middle East & North Africa,Marib,Unknown,15.522498,45.460567,"01/07/2014: Assailants shot and killed a soldier in Marib governorate, Yemen. No group claimed responsibility for the incident.",Military,Unknown,Firearms,1,0
125448,201401070021,2014,1,7,Yemen,Middle East & North Africa,Adan,Shaykh Uthman,12.862603,44.990674,"01/07/2014: Assailants opened fire on a military officer and soldier near Al-Nasr Military camp in Shaykh Uthman district, Adan governorate, Yemen. Colonel Mubarak Lashram and the soldier were killed in the attack. No group claimed responsibility for the incident.",Military,Unknown,Firearms,2,0
125459,201401070037,2014,1,7,Yemen,Middle East & North Africa,Hadramawt,Sah district,15.612456,48.952117,"01/07/2014: An explosive device detonated near an oil pipeline in Wadi Urf area, Sah district, Hadramawt governorate, Yemen. There were no reported casualties; however, the pipeline was damaged in the blast. This was one of two attacks on the same pipeline within two days. No group claimed responsibility for the incident; however, sources attributed the attack to tribesmen.",Utilities,Tribesmen,Explosives/Bombs/Dynamite,0,0
125463,201401070042,2014,1,7,Yemen,Middle East & North Africa,Adan,Aden,12.808454,45.035652,"01/07/2014: An explosive device attached to the vehicle of a Political Security Organization (PSO) intelligence officer detonated in Cerater neighborhood, Aden city, Adan governorate, Yemen. The officer, Colonel Saleh Al-Kady, was wounded in the blast. No group claimed responsibility for the incident.",Government (General),Unknown,Explosives/Bombs/Dynamite,0,1
