year,injuries,fatalities,region,count
1973,7,1,Eastern Europe,1
1974,0,0,Eastern Europe,1
1977,7,1,Eastern Europe,1
1980,2,0,Eastern Europe,1
1981,4,0,Eastern Europe,2
1983,4,2,Eastern Europe,1
1984,1,2,Eastern Europe,1
1989,0,0,Eastern Europe,3
1990,0,0,Eastern Europe,5
1991,7,6,Eastern Europe,11
1992,43,3,Eastern Europe,12
1994,0,0,Eastern Europe,1
1995,7,2,Eastern Europe,3
1996,9,9,Eastern Europe,16
1997,28,9,Eastern Europe,38
1998,34,57,Eastern Europe,46
1999,108,14,Eastern Europe,23
2000,9,5,Eastern Europe,14
2001,11,8,Eastern Europe,20
2002,0,0,Eastern Europe,3
