,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
67612,199803010001,1998,3,1,Yugoslavia,Eastern Europe,Kosovo and Metohija,Glogovac,42.602636,20.902977,"03/01/1998: Albanian separatists used firearms and explosives to ambush police near Glogovac in the Federal Republic of Yugoslavia (FRY). Four police were killed and two were injured from this attack. The police also killed 16 perpetrators, however reports did not provide further details.",Police,Unknown,Firearms,20,2
67711,199804140004,1998,4,14,Yugoslavia,Eastern Europe,Kosovo (Province),Pristina,42.672478999999996,21.163748000000002,"04/14/1998: One policeman was injured when two grenades were thrown from a moving car in Vranjevac, Kosovo. The Kosovo Liberation Army (KLA) claimed responsibility for this attack.",Police,Kosovo Liberation Army (KLA),Explosives/Bombs/Dynamite,0,1
67717,199804200001,1998,4,20,Yugoslavia,Eastern Europe,Kosovo (Province),Pristina,42.672478999999996,21.163748000000002,"04/20/1998: Unknown gunmen opened fire at a Serbian refugee camp in Pristina, Kosovo. No one was killed or injured and no group or individual claimed credit for this attack.",Other,Unknown,Firearms,0,0
67746,199805030003,1998,5,3,Yugoslavia,Eastern Europe,Kosovo (Province),Runik,42.794975,20.691387,"05/03/1998: Suspected Albanian gunmen used portable rocket launchers and automatic guns to attack a police checkpoint in the village of Rudnik, Federal Republic of Yugoslavia (FRY). The attack damaged the checkpoint, but caused no injuries. An unspecified number of rebels were killed and captured in the incident.",Police,Unknown,Firearms,0,0
67757,199805070001,1998,5,7,Yugoslavia,Eastern Europe,Crna Gora (Republic),Bogicevica,42.561105,20.079583,"05/07/1998: Mr. Gyula Dorin, a soldier who was serving with the Federal Republic of Yugoslavia Army's Plav Garrison, was killed in an attack by a sizable contingent of perpetrators when the latter ambushed the Yugoslav Army border patrol near the watchtower in Bogicevica. The border patrol returned fire, killing one and injuring several others. Authorities suspected that this was a part of a bigger plan aimed at causing insecurity and threatening the Yugoslav state border with Albania.",Military,Unknown,Firearms,1,0
67767,199805100001,1998,5,10,Yugoslavia,Eastern Europe,Kosovo (Province),Peje,42.659809,20.307119,"05/10/1998: A grenade was thrown at the Tuki Boutique, a shop owned by Erduhan Krasnici, in central Pec, Kosovo, causing damage but no casualties. The attack came in the context of high conflict in Kosovo, hence the specific motive and perpetrator group were unknown. In addition to this attack a nearby cafe was also attacked.",Business,Unknown,Explosives/Bombs/Dynamite,0,0
67768,199805100002,1998,5,10,Yugoslavia,Eastern Europe,Kosovo (Province),Peje,42.659809,20.307119,"05/10/1998: Two grenades were thrown at Te Meta, a caf? owned by Met Krasnici, in central Pec, Kosovo, causing some damage but no casualties. The attack came in the context of high conflict in Kosovo; hence the specific motive and perpetrator group were unknown. In addition to this attack a nearby boutique was also attacked.",Business,Unknown,Explosives/Bombs/Dynamite,0,0
67846,199807020001,1998,7,2,Yugoslavia,Eastern Europe,Kosovo (Province),Dolovo,42.566719,20.561024,"07/02/1998: Suspected Albanian perpetrators wounded a police officer in the village of Dolovo, Kosovo.",Police,Unknown,Firearms,0,1
67855,199807110002,1998,7,11,Yugoslavia,Eastern Europe,Kosovo and Metohija,Streoc,42.602636,20.902977,"07/11/1998: Suspected Albanian perpetrators attacked a police station on the Pec-Decani road near Streoc, Kosovo, killing one policeman and injuring another.",Police,Unknown,Firearms,1,1
67858,199807120003,1998,7,12,Yugoslavia,Eastern Europe,Kosovo (Province),Istinic,42.5575,20.302778,"07/12/1998: Suspected Albanian perpetrators attacked a police station in the village of Istinic, Kosovo, killing one policeman.",Police,Unknown,Firearms,1,0
67865,199807130005,1998,7,13,Yugoslavia,Eastern Europe,Kosovo and Metohija,Donji Crnobreg,42.580555,20.860463,07/13/1998: Albanian perpetrators were suspected of attacking a police checkpoint on the Pec-Decani road and wounding three policemen.,Police,Unknown,Firearms,0,3
67868,199807150001,1998,7,15,Yugoslavia,Eastern Europe,Kosovo (Province),Stari Trg,42.939199,20.92235,"07/15/1998: Suspected Albanian perpetrators attacked the Trepca coal mine, outside of Stari Trg, Kosovo, with machine guns and automatic guns. It is believed that the attackers suffered some casualties. There was another attack on this mine the following day.",Business,Unknown,Firearms,0,0
67872,199807160001,1998,7,16,Yugoslavia,Eastern Europe,Kosovo (Province),Stari Trg,42.939199,20.92235,"07/16/1998: Suspected Albanian perpetrators attacked the Trepca coal mine outside Stari Trig, Kosovo, with machine guns and automatic guns. The reports indicated that the attackers suffered some casualties. There was another attack on this mine the previous day.",Business,Unknown,Firearms,0,0
67874,199807160003,1998,7,16,Yugoslavia,Eastern Europe,Kosovo (Province),Tusuz,42.197365000000005,20.722676,"07/16/1998: Suspected Albanian perpetrators attacked a police patrol in Tusus, Kosovo. A two-hour gun battle ensued, but no one was reported hurt.",Police,Unknown,Firearms,0,0
67883,199807200001,1998,7,20,Yugoslavia,Eastern Europe,Kosovo (Province),Stari Trg,42.939199,20.92235,"07/20/1998: Suspected Albanian perpetrators attacked the Trepca Lead and Zinc mine in Stari Trg, Kosovo. They used machine-guns and small arms in the attack. No casualties resulted from this incident.",Business,Unknown,Firearms,0,0
67887,199807210001,1998,7,21,Yugoslavia,Eastern Europe,Kosovo (Province),Srbica,42.7466667,20.7886111,"07/21/1998: Suspected Albanian perpetrators attacked a police station in Srbica, Kosovo. No one was reported hurt or killed in this incident.",Police,Unknown,Firearms,0,0
67895,199807210009,1998,7,21,Yugoslavia,Eastern Europe,Kosovo (Province),Srbica,42.7466667,20.7886111,"07/21/1998: Suspected Albanian perpetrators attacked the police station in Srbica, Kosovo. No one was hurt in the incident.",Police,Unknown,Firearms,0,0
67899,199807240002,1998,7,24,Yugoslavia,Eastern Europe,Kosovo and Metohija,Komoran,42.602636,20.902977,"07/24/1998: Suspected Albanian perpetrators attacked a Serb Army unit near the village of Komoran, Kosovo. Any casualties resulting from this incident were not reported.",Military,Unknown,Firearms,0,0
67901,199807250001,1998,7,25,Yugoslavia,Eastern Europe,Kosovo and Metohija,Dulje,42.580555,20.860463,"07/25/1998: Suspected Albanian perpetrators attacked a Serb police unit near Dulje, Kosovo. Two of the attackers were wounded and 10 were captured.",Military,Unknown,Firearms,0,2
67907,199807260003,1998,7,26,Yugoslavia,Eastern Europe,Kosovo (Province),Kijevo,42.566295000000004,20.716716,"07/26/1998: Suspected Albanian perpetrators attacked Serbian Police in the village of Kijevo, Kosovo. No casualties were reported in this incident.",Police,Unknown,Firearms,0,0
67925,199807290001,1998,7,29,Yugoslavia,Eastern Europe,Kosovo (Province),Stari Trg,42.939199,20.92235,"07/29/1998: Suspected Albanian perpetrators attacked the Trepca mine in Stari Trg, Kosovo. No one was hurt in the attack.",Business,Unknown,Firearms,0,0
