,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
62271,199605100005,1996,5,10,Zaire,Sub-Saharan Africa,North Kivu,Goma,-1.6585009999999998,29.220454999999998,,NGO,Unknown,Unknown,13,26
62285,199605120004,1996,5,12,Zaire,Sub-Saharan Africa,Unknown,Unknown,,,,Private Citizens & Property,Hutu extremists,Unknown,100,0
62294,199605140002,1996,5,14,Zaire,Sub-Saharan Africa,North Kivu,Mokotos,-1.215,28.916944,,Religious Figures/Institutions,Unknown,Unknown,10,30
62358,199605190007,1996,5,19,Zaire,Sub-Saharan Africa,South Kivu,Kibumba,-2.997014,28.466619,,NGO,Hutu extremists,Firearms,1,0
62514,199606050007,1996,6,5,Zaire,Sub-Saharan Africa,North Kivu,Bunangana,-1.298456,29.593583000000002,,Private Citizens & Property,Unknown,Firearms,28,3
62661,199606280002,1996,6,28,Zaire,Sub-Saharan Africa,Bas-Congo,Kibuma,-4.480278,14.411944,,Other,Unknown,Firearms,8,0
63229,199609070003,1996,9,7,Zaire,Sub-Saharan Africa,North Kivu,Goma,-1.6585009999999998,29.220454999999998,,NGO,Unknown,Explosives/Bombs/Dynamite,2,33
63277,199609120005,1996,9,12,Zaire,Sub-Saharan Africa,Unknown,Unknown,,,,Private Citizens & Property,Unknown,Firearms,13,0
63517,199610060002,1996,10,6,Zaire,Sub-Saharan Africa,Unknown,Lerma,,,,Business,Tutsi,Unknown,40,0
63747,199610290003,1996,10,29,Zaire,Sub-Saharan Africa,South Kivu,Bukavu,-2.500596,28.866633,,Religious Figures/Institutions,Unknown,Unknown,1,0
63765,199610310005,1996,10,31,Zaire,Sub-Saharan Africa,South Kivu,Bukavu,-2.500596,28.866633,,Religious Figures/Institutions,Hutu extremists,Unknown,4,0
63795,199611040004,1996,11,4,Zaire,Sub-Saharan Africa,Unknown,Kalana,,,,Religious Figures/Institutions,Unknown,Unknown,0,0
63810,199611070003,1996,11,7,Zaire,Sub-Saharan Africa,South Kivu,Bukavu,-2.500596,28.866633,,Religious Figures/Institutions,Unknown,Unknown,3,0
