year,injuries,fatalities,region,count
1971,0,1,Sub-Saharan Africa,1
1973,0,2,Sub-Saharan Africa,1
1975,0,1,Sub-Saharan Africa,1
1977,0,1,Sub-Saharan Africa,1
1978,0,0,Sub-Saharan Africa,3
1979,0,0,Sub-Saharan Africa,1
1981,0,0,Sub-Saharan Africa,1
1985,0,0,Sub-Saharan Africa,1
1986,0,2,Sub-Saharan Africa,1
1987,0,0,Sub-Saharan Africa,1
1988,18,9,Sub-Saharan Africa,5
1989,11,33,Sub-Saharan Africa,18
1990,22,20,Sub-Saharan Africa,4
1995,0,0,Sub-Saharan Africa,1
1996,8,0,Sub-Saharan Africa,4
1999,1,1,Sub-Saharan Africa,7
2000,2,0,Sub-Saharan Africa,8
2002,0,0,Sub-Saharan Africa,1
