,id,year,month,day,country,region,state,city,latitude,longitude,summary,target,tgroup,weapon,fatalities,injuries
10671,198004180012,1980,4,18,Zimbabwe,Sub-Saharan Africa,Salisbury,Salisbury,-17.825166,31.033509999999996,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,3
10672,198004180013,1980,4,18,Zimbabwe,Sub-Saharan Africa,Salisbury,Salisbury,-17.825166,31.033509999999996,,Police,Unknown,Explosives/Bombs/Dynamite,0,0
11206,198006230006,1980,6,23,Zimbabwe,Sub-Saharan Africa,Salisbury,Salisbury,-17.825166,31.033509999999996,,Violent Political Party,Unknown,Firearms,1,0
11433,198007230011,1980,7,23,Zimbabwe,Sub-Saharan Africa,Salisbury,Salisbury,-17.825166,31.033509999999996,,Government (General),Unknown,Firearms,0,0
11737,198009110010,1980,9,11,Zimbabwe,Sub-Saharan Africa,Mashonaland East,Chitungwiza,-18.019782,31.067907,,Government (General),Unknown,Explosives/Bombs/Dynamite,1,9
11865,198009270003,1980,9,27,Zimbabwe,Sub-Saharan Africa,Salisbury,Salisbury,-17.825166,31.033509999999996,,Business,Unknown,Explosives/Bombs/Dynamite,2,25
11965,198010080007,1980,10,8,Zimbabwe,Sub-Saharan Africa,Salisbury,Salisbury,-17.834083,31.211191999999997,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,4
11983,198010100008,1980,10,10,Zimbabwe,Sub-Saharan Africa,Salisbury,Salisbury,-17.825166,31.033509999999996,,Military,Unknown,Firearms,0,1
12015,198010140009,1980,10,14,Zimbabwe,Sub-Saharan Africa,Salisbury,Salisbury,-17.825166,31.033509999999996,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,0,8
12092,198010280011,1980,10,28,Zimbabwe,Sub-Saharan Africa,Salisbury,Salisbury,-17.981844,31.066679999999998,,Military,Unknown,Explosives/Bombs/Dynamite,0,1
12099,198010290007,1980,10,29,Zimbabwe,Sub-Saharan Africa,Salisbury,Dzirasekwa,-17.805254,30.935999,,Violent Political Party,Unknown,Explosives/Bombs/Dynamite,4,0
12132,198011010002,1980,11,1,Zimbabwe,Sub-Saharan Africa,Salisbury,Salisbury,-17.825166,31.033509999999996,,Private Citizens & Property,Unknown,Explosives/Bombs/Dynamite,1,0
12232,198011160002,1980,11,16,Zimbabwe,Sub-Saharan Africa,Salisbury,Kambuzuma,-17.860618,30.981896000000003,,Business,Unknown,Explosives/Bombs/Dynamite,3,22
12239,198011160011,1980,11,16,Zimbabwe,Sub-Saharan Africa,Mashonaland East,Mtoko,-17.408632,32.22568,,Military,Zimbabwe African Nationalist Union (ZANU),Unknown,1,2
